Title,Authors,Body,Created
,"ahmad khanlari, KF Admin, ioioio ioioio",,"6/24/2016, 1:55:36 AM"
,"KF Admin, Khushboo Shah, test test","<g class=""gr_ gr_10 gr-alert gr_spell gr_inline_cards gr_run_anim ContextualSpelling ins-del multiReplace"" id=""10"" data-gr-id=""10"">ontrary</g> to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old. Richard McClintock, a Latin professor at Hampden-st132 College in Virginia, looked up one of the more obscure Latin words, <g class=""gr_ gr_11 gr-alert gr_spell gr_inline_cards gr_run_anim ContextualSpelling"" id=""11"" data-gr-id=""11"">consectetur</g>, from a Lorem Ipsum passage, and going through the cites of the word in classical literature, discovered the <g class=""gr_ gr_12 gr-alert gr_spell gr_inline_cards gr_run_anim ContextualSpelling"" id=""12"" data-gr-id=""12"">undoubtable</g> source. Lorem Ipsum comes from sections 1.10.32 and 1.10.33 of ""de Finibus Bonorum et Malorum"" (The Extremes of Good and Evil) by Cicero, written in 45 BC. This book is a treatise on the theory of ethics, very popular during the Renaissance. The first line of Lorem Ipsum, ""Lorem ipsum dolor sit amet.."", comes from a line in section 1.10.32.
The standard chunk of Lorem Ipsum used since the","7/13/2018, 9:11:51 PM"
Demo Note 2,KF Admin,"<g class=""gr_ gr_6 gr-alert gr_spell gr_inline_cards gr_run_anim ContextualSpelling ins-del multiReplace"" id=""6"" data-gr-id=""6"">dable</g> content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by","7/13/2018, 9:12:13 PM"
PI Pool,KF Admin,",","7/13/2018, 9:13:24 PM"
Demo Note 1,KF Admin,"Lorem Ipsumis simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including v","7/13/2018, 9:24:10 PM"
Demo Note 2,KF Admin,"here are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text. All the Lorem Ipsum generators on the Internet tend to repeat predefined chunks as necessary, making this the first true generator on the Internet. It uses a dictionary of over 200 Latin words, combined with a handful of model sentence structures, to generate Lorem Ipsum which looks reasonable. The generated Lorem Ipsum is therefore always free from repetition, injected humour, or non-characteristic words etc.","7/13/2018, 9:24:27 PM"
PI Pool2,KF Admin,"""All the Lorem Ipsum generators on the Internet tend to repeat predefined chunks as necessary, making this the first true generator on the Internet. It uses a dictionary of over 200 Latin words, combined with a handful of model sentence stru"" (
Image -> https://kf6-stage.ikit.org//manual_assets/kf4images/icon-note-unread-othr-.gif
""Demo Note 2"" (Link->contribution/5b4950cbb303392220973790)
by KF Admin)
,"" It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker includin"" (
Image -> https://kf6-stage.ikit.org//manual_assets/kf4images/icon-note-unread-othr-.gif
""Demo Note 1"" (Link->contribution/5b4950bab303392220973783)
by KF Admin)","7/13/2018, 9:26:06 PM"
PI Pool 2,KF Admin,",","7/13/2018, 9:26:31 PM"
yguhj,KF Admin,"<g class=""gr_ gr_3 gr-alert gr_spell gr_inline_cards gr_run_anim ContextualSpelling ins-del multiReplace"" id=""3"" data-gr-id=""3"">essf</g>
e
<g class=""gr_ gr_11 gr-alert gr_spell gr_inline_cards gr_run_anim ContextualSpelling ins-del multiReplace"" id=""11"" data-gr-id=""11"">fsefsefs</g>
ef","8/11/2018, 9:32:43 PM"
https://kf6-stage.ikit.org/view/5b80ebcd2749b971afcd0948,KF Admin,"<iframe style=""width: 100%; height: 90%;"" src=""https://kf6-stage.ikit.org/view/5b80ebcd2749b971afcd0948""></iframe>
original page (Link->https://kf6-stage.ikit.org/view/5b80ebcd2749b971afcd0948)","8/25/2018, 1:40:55 AM"
https://kf6-stage.ikit.org/view/5b80ebd72749b971afcd094f,KF Admin,"<iframe style=""width: 100%; height: 90%;"" src=""https://kf6-stage.ikit.org/view/5b80ebd72749b971afcd094f""></iframe>
original page (Link->https://kf6-stage.ikit.org/view/5b80ebd72749b971afcd094f)","8/25/2018, 1:40:57 AM"
Hi,KF Admin,,"9/10/2018, 12:00:19 AM"
Test 1,KF Admin,,"9/10/2018, 1:31:47 PM"
Riseabove,KF Admin,jjnjnjn,"9/10/2018, 1:32:02 PM"
T3,KF Admin,sef,"9/10/2018, 1:32:06 PM"
T4,KF Admin,"gerfe
eefewwe
fwefwefwe
fwefwefw
njnjnjnjnjnjn","9/10/2018, 1:32:13 PM"
TT2,KF Admin,,"9/10/2018, 1:32:25 PM"
Riseabove,NInad lolololol,,"10/29/2018, 2:27:27 PM"
https://kf6-stage.ikit.org/view/5b80e9622749b971afcd08ed,NInad lolololol,"<iframe style=""width: 100%; height: 90%;"" src=""https://kf6-stage.ikit.org/view/5b80e9622749b971afcd08ed""></iframe>
original page (Link->https://kf6-stage.ikit.org/view/5b80e9622749b971afcd08ed)","12/5/2018, 12:41:12 PM"
Test note st138,KF Admin,"<g class=""gr_ gr_5 gr-alert gr_spell gr_inline_cards gr_run_anim ContextualSpelling ins-del multiReplace"" id=""5"" data-gr-id=""5"">st029aa</g>

st013","1/9/2019, 5:05:40 AM"
test,Khushboo Shah,test,"2/5/2019, 5:07:02 PM"
kjqnek,NInad lolololol,kml,"2/14/2019, 1:24:52 PM"
f4,NInad lolololol,rf3r,"2/14/2019, 1:25:09 PM"
https://kf6-stage.ikit.org/view/5b80ed142749b971afcd0997,Khushboo Shah,"<iframe style=""width: 100%; height: 90%;"" src=""https://kf6-stage.ikit.org/view/5b80ed142749b971afcd0997""></iframe>
original page (Link->https://kf6-stage.ikit.org/view/5b80ed142749b971afcd0997)","5/17/2019, 4:03:34 PM"
https://kf6-stage.ikit.org/view/56947546535c7c0709beee5e,Khushboo Shah,"<iframe style=""width: 100%; height: 90%;"" src=""https://kf6-stage.ikit.org/view/56947546535c7c0709beee5e""></iframe>
original page (Link->https://kf6-stage.ikit.org/view/56947546535c7c0709beee5e)","5/17/2019, 4:04:11 PM"
PI Pool,KF Admin,""" it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites s"" (
Image -> https://kf6-stage.ikit.org//manual_assets/kf4images/icon-note-unread-othr-.gif
""Demo Note 2"" (Link->contribution/5b494dedb30339222097373d)
by KF Admin)
,""hard McClintock, a Latin professor at Hampden-Sydney College in Virginia, looked up one of the more obscure Latin words, consectetur, from a Lorem Ipsum passage, and going through the cites of the word in classical literature, discovered the undoubtable source. Lorem Ipsum comes from sections 1.10.32 and 1.10.33 of ""de Finibus Bonorum et Malorum"" "" (
Image -> https://kf6-stage.ikit.org//manual_assets/kf4images/icon-note-unread-othr-.gif
"""" (Link->contribution/5b494dd7b303392220973732)
by KF Admin, Khushboo Shah, test test)","5/19/2019, 12:28:00 AM"
sdfds,KF Admin,,"6/5/2019, 3:07:13 PM"
sadsds,KF Admin,,"6/5/2019, 3:07:25 PM"
Test1234,Khushboo Shah,,"6/18/2019, 2:19:03 PM"
12345,Khushboo Shah,,"6/18/2019, 2:20:05 PM"
Hhjjjjj,Khushboo Shah,,"6/18/2019, 2:20:33 PM"
a,KF Admin,,"6/18/2019, 2:23:00 PM"
b,KF Admin,,"6/18/2019, 2:23:08 PM"
Budl on Note,KF Admin,,"6/26/2019, 1:40:24 PM"
title1,NInad lolololol,,"8/7/2019, 2:47:42 PM"
test,NInad lolololol,,"8/9/2019, 8:51:13 PM"
my test riseabove,Khushboo Shah,,"8/27/2019, 9:42:28 PM"
ww,KF Admin,,"8/28/2019, 3:12:58 PM"
Test,Sravan Nangunoori,,"8/28/2019, 3:17:13 PM"
my test,Sravan Nangunoori,Alpha Beta Gama,"8/28/2019, 3:18:19 PM"
fdsfasf,KF Admin,,"8/28/2019, 3:27:45 PM"
cxlass discxussinof,NInad lolololol,,"8/30/2019, 12:08:45 PM"
degrtgre,NInad lolololol,,"8/30/2019, 12:09:42 PM"
test,Sravan Nangunoori,test note,"10/10/2019, 5:23:34 PM"
Testing kbdac,Sravan Nangunoori,Note detletion count test,"10/10/2019, 7:19:29 PM"
diferent view note,Sravan Nangunoori,,"10/10/2019, 7:21:21 PM"
alpha,Sravan Nangunoori,testing kbdac ssss,"10/17/2019, 12:34:57 PM"
aaaa klsk,Sravan Nangunoori,shhshjkkskkk mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,"10/17/2019, 12:36:45 PM"
ionin,NInad lolololol,hbbbuibhbib,"10/31/2019, 12:22:36 PM"
dsfdsfds,KF Admin,,"11/6/2019, 11:24:57 PM"
